X,Y,Z
14.023861915252896,-57.18123582134517,-186.45724725748693
21.462568814476292,-61.497528170199914,-187.49551482201855
-50.20601469305983,-23.270238153593848,-162.0566982758185
-45.90966193228601,-26.505955675010068,-165.3770136481101
-41.301549691921274,-29.88987734228495,-168.6337701405209
-36.374984991642926,-33.416878959618195,-171.79639612641273
-31.12498679136958,-37.080550481908276,-174.83300914360805
-25.54854176183876,-40.87310219719101,-177.7105656920476
-19.64484747532086,-44.78528971400501,-180.39505356396958
-13.415538451968509,-48.80635929849315,-182.85172357805075
-6.864890619880926,-52.92401484595136,-185.04535690423745
0.0,-57.12440746723496,-186.94056357051346
7.169068223555707,-61.392148343457315,-188.50210724853773
14.629163674722102,-65.7103451698724,-189.69525101916406
-57.0656555180018,-27.19714522535452,-162.46751362485915
-52.81804334310645,-30.494511542211853,-165.89966459157688
-48.25730215366008,-33.9351093517922,-169.2706493953563
-43.37590140816495,-37.51336873588177,-172.55063158378422
-38.16794755324147,-41.22244932415807,-175.7084529957914
-32.62943616731613,-45.05415147318278,-178.7117664466691
-26.758495208977813,-48.99884487280611,-181.52720870981028
-20.55561516584118,-53.04541602078954,-184.12061145644302
-14.023861915252896,-57.18123582134517,-186.45724725748693
-7.169068223555707,-61.392148343457315,-188.50210724853773
0.0,-65.66248153575567,-190.22020661620385
7.471506339815089,-69.9750804475245,-191.5769136765626
-64.12867280516107,-31.254008278013558,-162.51410048249622
-59.93757667301341,-34.60497602673814,-166.0532297040397
-55.43251626370687,-38.09377237615275,-169.53432946171233
-50.60513020454,-41.71447167000866,-172.92845974571662
-45.44860257900126,-45.459901726312296,-176.2053444853228
-39.95791091585707,-49.32155843221034,-179.33348435803651
-34.13006927594992,-53.28953613682304,-182.28030764778825
-27.964362653360947,-57.352475227297916,-185.0123576661273
-21.462568814476292,-61.497528170199914,-187.49551482201855
-14.629163674722102,-65.7103451698724,-189.69525101916406
-7.471506339815089,-69.9750804475245,-191.5769136765626
0.0,-74.27441998543168,-193.10603630168845
0.0,10.446189043244376,-149.53133897823506
4.534945221481905,8.009879224846635,-151.82743230073265
9.358595176027968,5.403187444116442,-154.05761552772088
14.470307185298502,2.624267371783031,-156.19114626269936
19.867652135665143,-0.32779259217491025,-158.1960306736191
25.54614561341603,-3.4528034315813447,-160.03918499234584
31.499008144260305,-6.749322357268585,-161.68665207597405
37.7169596940601,-10.214515666709032,-163.10386848204882
44.188053221935235,-13.844040802032016,-164.25597604496423
50.89755138775383,-17.631950485494094,-165.1081706574009
57.82784957885916,-21.570621347214928,-165.6260799418884
64.95844731904421,-25.650708878330395,-165.77616079702358
-4.534945221481905,8.009879224846635,-151.82743230073265
0.0,5.483774712626165,-154.26721603646573
4.82705005236975,2.786898647127436,-156.64074359632502
9.946258898956048,-0.08191085885772026,-158.91667250434472
15.355834129940854,-3.1227972565025106,-161.06238835851843
21.0518694673634,-6.334725037377582,-163.04418024226246
27.02810653513825,-9.715334090705102,-164.8274712585387
33.275731252465725,-13.260812212611675,-166.377099131254
39.783209750465964,-16.96578882696862,-167.65764035682517
46.53616794038028,-20.823252577726738,-168.6337701405209
53.51731785568494,-24.824494907275064,-169.2706493953563
60.706432735583604,-28.95908109198788,-169.53432946171233
-9.358595176027968,5.403187444116442,-154.05761552772088
-4.82705005236975,2.786898647127436,-156.64074359632502
0.0,-3.54061197770483e-14,-159.15715503865985
5.123326356083729,-2.9579538508312795,-161.575002371014
10.541804554842038,-6.086313697482505,-163.861151879918
16.252148164884325,-9.383182117905676,-165.9813708633442
22.248671762359344,-12.845276631109817,-167.9005695940462
28.523088516102376,-16.467812832891255,-169.58309254821265
35.0643473466051,-20.244410379521025,-170.99305201536973
41.858513798329184,-24.167024209343037,-172.0946960159438
48.888697719112486,-28.225902788459855,-172.852801571579
56.13502966181939,-32.40957448621907,-173.2330838371034
-14.470307185298502,2.624267371783031,-156.19114626269936
-9.946258898956048,-0.08191085885772026,-158.91667250434472
-5.123326356083729,-2.9579538508312795,-161.575002371014
0.0,-6.003568521269122,-164.13389333053112
5.42329575002829,-9.21730023384459,-166.55980758778605
11.143937701783221,-12.596387248417564,-168.81810858688442
17.156867697298377,-16.136633604021764,-170.87331141594032
23.454390594402682,-19.832303439485695,-172.6893813890954
30.026011419478074,-23.676039376272115,-174.23007371515726
36.858315834224186,-27.658807055648527,-175.45930604949592
43.93489700363689,-31.769867284996486,-176.3415549269728
51.23633077942404,-35.99677655541836,-176.84226661651158
-19.867652135665143,-0.32779259217491025,-158.1960306736191
-15.355834129940854,-3.1227972565025106,-161.06238835851843
-10.541804554842038,-6.086313697482505,-163.861151879918
-5.42329575002829,-9.21730023384459,-166.55980758778605
0.0,-12.513497062030575,-169.12454164394632
5.726166980855705,-15.971289701819162,-171.52044279113312
11.750830268520073,-19.58559213561121,-173.71175784573535
18.06695324171417,-23.349752425792047,-175.66219407397531
24.66467338172931,-27.255483162976155,-177.3352613305679
31.531180503159216,-31.292818535409808,-178.69464581483516
38.65064052346921,-35.45009916415909,-179.70460658357212
46.004166740524916,-39.71398516739975,-180.33038557187487
-25.54614561341603,-3.4528034315813447,-160.03918499234584
-21.0518694673634,-6.334725037377582,-163.04418024226246
-16.252148164884325,-9.383182117905676,-165.9813708633442
-11.143937701783221,-12.596387248417564,-168.81810858688442
-5.726166980855705,-15.971289701819162,-171.52044279113312
0.0,-19.503448400349917,-174.053326202606
6.030928346353977,-23.186925411567238,-176.3808718540902
12.36030840049462,-27.014202522290834,-178.46665551143442
18.978988774558506,-30.976122965290074,-180.2740566016749
25.874850427850976,-35.06185980609715,-181.76662974579392
33.03272494610794,-39.25891186716051,-182.90849836255092
40.43435910286881,-43.553127417378,-183.66476147717464
-31.499008144260305,-6.749322357268585,-161.68665207597405
-27.02810653513825,-9.715334090705102,-164.8274712585387
-22.248671762359344,-12.845276631109817,-167.9005695940462
-17.156867697298377,-16.136633604021764,-170.87331141594032
-11.750830268520073,-19.58559213561121,-173.71175784573535
-6.030928346353977,-23.186925411567238,-176.3808718540902
0.0,-26.933896197877694,-178.84477290046934
6.336441328827732,-30.81818359697439,-181.06703558803983
12.970035643662252,-34.82983485139201,-183.01102570312068
19.88944434786796,-38.95724345861028,-184.64026617533577
27.080260570770164,-43.18715426719344,-185.91882492887004
34.52496410858066,-47.5046956244971,-186.81171630290567
-37.7169596940601,-10.214515666709032,-163.10386848204882
-33.275731252465725,-13.260812212611675,-166.377099131254
-28.523088516102376,-16.467812832891255,-169.58309254821265
-23.454390594402682,-19.832303439485695,-172.6893813890954
-18.06695324171417,-23.349752425792047,-175.66219407397531
-12.36030840049462,-27.014202522290834,-178.46665551143442
-6.336441328827732,-30.81818359697439,-181.06703558803983
0.0,-34.752648424802224,-183.42704025267892
6.641528048913328,-38.80693300995141,-185.5101390767182
13.577675563144131,-42.96874253614419,-187.27992243181876
20.794895443939843,-47.22416348095388,-188.70048092355543
28.2765030994858,-51.55770189271253,-189.73679945284783
-44.188053221935235,-13.844040802032016,-164.25597604496423
-39.783209750465964,-16.96578882696862,-167.65764035682517
-35.0643473466051,-20.244410379521025,-170.99305201536973
-30.026011419478074,-23.676039376272115,-174.23007371515726
-24.66467338172931,-27.255483162976155,-177.3352613305679
-18.978988774558506,-30.976122965290074,-180.2740566016749
-12.970035643662252,-34.82983485139201,-183.01102570312068
-6.641528048913328,-38.80693300995141,-185.5101390767182
0.0,-42.89613674784616,-187.73508708022567
6.945044314771105,-47.08456216099301,-189.6496253560379
14.18101744884198,-51.357738960064715,-191.21794337374104
21.692175452613814,-55.69965246755214,-192.40504934963693
-50.89755138775383,-17.631950485494094,-165.1081706574009
-46.53616794038028,-20.823252577726738,-168.6337701405209
-41.858513798329184,-24.167024209343037,-172.0946960159438
-36.858315834224186,-27.658807055648527,-175.45930604949592
